Company,City,Country,Client Tier,Gap Type,Action Required,Priority
Swarovski Optik KG,Absam,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
team neusta GmbH,Bremen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
PAPSTAR GmbH,Kall,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Borbet Austria GmbH,Braunau am Inn,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Steirerfleisch Ges.m.b.H.,Wolfsberg im Schwarzautal,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
ZIMMER GmbH Technische Werkstätten,Rheinau,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
TTTech Computertechnik AG,Wien,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Trodat GmbH,Wels,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Rudolf Ölz Meisterbäcker GmbH & Co KG,Dornbirn,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Miele Gesellschaft m.b.H.,Wals,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Kirchdorfer Zementwerk Hofmann GesmbH,Kirchdorf an der Krems,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Landert Group AG,Bülach,CH,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Rupp AG,Hörbranz,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
S.Spitz GmbH,Attnang-Puchheim,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
EURAWASSER GmbH & Co. KG,Lünen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Banner GmbH,Linz,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
RÖFIX AG,Röthis,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
TIGER Coatings GmbH & Co. KG,Wels,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
TRUMPF Maschinen Austria GmbH + Co. KG,Pasching,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
AVL Deutschland GmbH,Mainz-Kastel,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
HS Timber Group GmbH,Wien,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Collini Dienstleistungs GmbH,Hohenems,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Meusburger Georg GmbH & Co KG,Wolfurt,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Packservice Gruppe,Karlsruhe,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
TEUFELBERGER Holding AG,Wels,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Mensch und Maschine Deutschland GmbH,Weßling,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Liebherr-Werk Telfs GmbH,Telfs,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Fröling Heizkessel- und Behälterbau Ges.m.b.H.,Grieskirchen,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
MED-EL Elektromedizinische Geräte Gesellschaft m.b.H.,Innsbruck,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Thöni Industriebetriebe GmbH,Telfs,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Christian Winkler GmbH & Co. KG,Stuttgart,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
EWT Truck & Trailer Handels GmbH,Kitzbühel,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Isovolta AG,Wiener Neudorf,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Marc O'Polo AG,Stephanskirchen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Starlinger & Co Gesellschaft m.b.H.,Wien,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
FRANKSTAHL Rohr- und Stahlhandelsgesellschaft m.b.H.,Guntramsdorf,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Hermann Pfanner Getränke GmbH,Lauterach,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
GRASS GmbH,Höchst,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Kaffee Partner GmbH,Osnabrück,DE,2,WRONG CONTACT ROLE (have: Vertriebsleiter Nord),Find Geschäftsführer/CEO (currently have Vertriebsleiter Nord),LOW
Internorm International GmbH,Traun,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
AGRU Kunststofftechnik GmbH,Bad Hall,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
HAINZL INDUSTRIESYSTEME GmbH,Linz,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Blumenbecker Gruppe,Beckum,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
BRUCHA Gesellschaft m.b.H.,Michelhausen,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
VITRONIC Dr.-Ing. Stein Bildverarbeitungssysteme GmbH,Wiesbaden,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Follmann Gruppe,Minden,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Felder KG,Hall in Tirol,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Hotel Reservation Service Robert Ragge GmbH,Köln,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Kiel Industrial Services AG,Wesseling,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Merck Gesellschaft mbH,Wien,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Rudolf Großfurtner GmbH,Utzenaich,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
STARLIM Spritzguss GmbH,Marchtrenk,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Salzburger Aluminium AG,Lend,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
EV Group Europe & Asia/Pacific GmbH,St. Florian am Inn,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Wiesbauer Österreichische Wurstspezialitäten GmbH,Wien,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Plan.Net Gruppe für digitale Kommunikation GmbH & Co. KG,München,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
BENE GmbH,Waidhofen an der Ybbs,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
JOSKO Fenster & Türen GmbH,Kopfing,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
SCHOLPP,Stuttgart,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Autodoc GmbH,Berlin,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Sülzle Stahlpartner GmbH,Rosenfeld,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Wulf Gaertner Autoparts AG,Hamburg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Johannes J. Matthies GmbH & Co. KG,Hamburg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Kloska Group,Bremen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
HAHN+KOLB Werkzeuge GmbH,Ludwigsburg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Dr. Pietsch Holding GmbH & Co. KG,Ahaus,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Knauf Interfer SE,Essen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Sonepar Deutschland/Region Süd GmbH DEG Deutsche Elektro-Gruppe,Nürnberg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Lotter Gruppe,Ludwigsburg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
UNI ELEKTRO Fachgroßhandel GmbH & Co. KG,Eschborn,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Famo Gruppe,Oldenburg (Oldenburg),DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Hans Hess Autoteile GmbH,Köln,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Chefs Culinar West,Weeze,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Buhlmann Gruppe,Bremen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Getränke Ahlers GmbH,Achim,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Carl Götz GmbH,Neu-Ulm,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
M. Meesenburg KG,Flensburg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Martinswerk GmbH,Bergheim,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Kemmler Baustoffe GmbH,Tübingen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
FEGA & Schmitt Elektrogroßhandel GmbH,Ansbach,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
WGL Westdeutsche Getränkelogistik GmbH & Co KG,Dortmund,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
HKL Baumaschinen GmbH,Hamburg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Deutsche See GmbH,Bremerhaven,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Landguth Heimtiernahrung GmbH,Ihlow,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
LEHVOSS Unternehmensgruppe,Hamburg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Keller & Kalmbach GmbH,Unterschleißheim,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Adalbert Zajadacz GmbH,Neu Wulmstorf,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Vitakraft pet care GmbH & Co. KG,Bremen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Sanitär-Heinze GmbH & Co. KG,Freilassing,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Andreas Schmid Logistik AG,Gersthofen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Schäflein Logistikgruppe,Röthlein,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Fussl Modestraße Mayr GmbH,Ort im Innkreis,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Hirmer GmbH & Co. KG,München,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Kastner & Öhler Mode GmbH,Graz,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Mayersche Buchhandlung GmbH & Co. KG,Aachen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Pflanzen-Kölle Gartencenter GmbH & Co. KG,Heilbronn,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Dr. Richard Linien GmbH & Co KG,Wien,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Möbel Inhofer,Senden (Bayern),DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Bäcker Görtz GmbH,Ludwigshafen am Rhein,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
C&A Mode Ges.m.b.H & Co. KG,Wien,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
TTL Tapeten-Teppichbodenland Handelsgesellschaft mbH,Hallstadt,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Andreas Bonifer Spedition- und Verkehrsunternehmen GmbH & Co. KG,Offenbach am Main,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Getränke Geins GmbH & Co. KG,Passau,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Lyreco Deutschland GmbH,Barsinghausen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Heinrich Heine GmbH,Karlsruhe,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Peter Jensen GmbH,Hamburg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
ÖSTU-STETTIN Hoch- und Tiefbau GmbH,Leoben,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Görgens-Gruppe,Köln,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
"Scheck, In-Einkaufs-Center Achern GmbH",Achern,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Jerich Lagerverwaltungsgesellschaft m.b.H.,Gleisdorf,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Unger Stahlbau Ges.m.b.H.,Oberwart,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Vaude Sport GmbH & Co. KG,Tettnang,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Streck Transportgesellschaft mbH,Lörrach,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Kellner & Kunz AG,Wels,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Autohaus Bleker GmbH,Borken,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
BAUHAUS Depot GmbH,Wels,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Blume 2000 New Media ag,Hamburg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Ankerbrot GmbH & Co. KG,Wien,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
BACKFACTORY GmbH,Hamburg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Butlers - Josten Handel + Franchise GmbH & Co KG,Köln,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Engbers GmbH & Co.KG,Gronau (Westfalen),DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Kögel Trailer GmbH,Burtenbach,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Auto Wichert,Hamburg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Hödlmayr International AG,Schwertberg,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Zweirad-Center Stadler GmbH,Regensburg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Friedhelm Dornseifer Grundstücks- und Beteiligungs GmbH & Co. KG,Wenden,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
KBS Kleider Bauer Betriebs-GmbH,Perchtoldsdorf,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Auto-Scholz GmbH & Co. KG,Bamberg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Joseph Brass GmbH & Co. KG,Aschaffenburg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Reisser AG,Böblingen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Morawa Buch und Medien GmbH GmbH & Co. KG,Wien,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Ostermann GmbH & Co. KG,Witten,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
easyApotheke (Holding) AG,Düsseldorf,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
DÜRKOP GmbH,Braunschweig,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Gebrüder Haider Bauunternehmung GmbH,Großraming,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Noerpel GmbH Spedition + Logistik,Ulm,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Bruno Bader Gruppe,Pforzheim,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Rudolf Bindella Weinbau- Weinhandel AG,Zürich,CH,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Hofmeister Bietigheim GmbH & Co. KG,Bietigheim-Bissingen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Möbel Rieger GmbH & Co. KG,Göppingen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Weko Wohnen GmbH,Pfarrkirchen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
K+B E-Tech GmbH & Co. KG,Cham,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Braun Möbel-Center GmbH & Co KG,Reutlingen,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
G. Hinteregger & Söhne Baugesellschaft m.b.H.,Salzburg,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
KASTNER GroßhandelsgesmbH,Zwettl,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Handler Bau GmbH,Bad Schönau,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Schäfer Shop GmbH,Betzdorf,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Fröschl AG & Co KG,Hall in Tirol,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Baumeister Lugner GmbH,Wien,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Küchen Aktuell GmbH,Braunschweig,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Fressnapf Handels GmbH,Himmelreich,AT,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Fahrner Logistik Gruppe,Dornstetten,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Heurich GmbH & Co. KG,Petersberg,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Walter Seitz GmbH + Co. KG,Kempten,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Tölke & Fischer Gruppe,Krefeld,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Home24 AG,Berlin,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Honold Logistik Gruppe,Neu-Ulm,DE,2,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
