Name,Company Domain Name,City,State/Region,Country/Region,Industry,Description,Annual Revenue,Number of Employees,Client Tier,Industry Tier,Ownership Type,Founding Year,World Market Leader,Pipeline Priority Score,In Pipeline,Already in DB,Data Completeness %,Source Lists,Source Count,Target Contact Role
B-CLOSE,b-close.be,Brussels,Brussels,Belgium,Forklift & Material Handling,Largest independent Belgian distributor of A-brand forklifts.,50000000,200,4,unknown,Private,0,No,40,False,False,90,Wholesale_Associations,1,CEO / Managing Director
Strukton,strukton.com,Utrecht,Utrecht,Netherlands,Rail Infrastructure / Civil Engineering,"Design, construction and maintenance of rail systems and civil infrastructure.",500000000,2500,1,unknown,Private,1921,No,35,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Hoppenbrouwers Techniek,hoppenbrouwers.nl,Udenhout,Noord-Brabant,Netherlands,Technical Services / Installation,Royal technical service provider for electrical and mechanical engineering. 100+ years.,500000000,3000,1,unknown,Private,1918,No,35,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Adyen,adyen.com,Amsterdam,Noord-Holland,Netherlands,Fintech / Payments Infrastructure,Global payment platform enabling businesses to accept payments across all channels.,1996000000,4350,1,unknown,Public (Euronext),2006,No,35,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
TomTom,tomtom.com,Amsterdam,Noord-Holland,Netherlands,B2B Location Technology / Mapping,B2B location technology: maps and navigation for automotive OEMs. Microsoft and Uber client.,574000000,3500,1,unknown,Public (Euronext),1991,No,35,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Prayon,prayon.com,Engis,Wallonia,Belgium,Phosphate Chemistry,"Global player in phosphorus chemistry for food, industrial, agricultural use.",659500000,1500,2,unknown,JV (OCP / SRIW),1882,No,35,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Plastiflex Group,plastiflex.com,Beringen,Flanders,Belgium,Flexible Tubing Systems,Global market leader in customized flexible tubing for healthcare and industrial.,200000000,1100,2,unknown,PE-backed (IK Partners),1953,No,35,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Rotarex,rotarex.com,Lintgen,Luxembourg,Luxembourg,Gas Control Equipment,Global designer/manufacturer of premium gas control products. 100+ years.,400000000,1400,2,unknown,Family-owned,1922,No,35,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
Qblox,qblox.com,Delft,Zuid-Holland,Netherlands,Quantum Computing Hardware,Global leader in scalable quantum control stacks.,10000000,50,5,unknown,Private (VC-backed),2018,No,30,False,False,100,NL_IT_Software,1,CEO / Managing Director
Aliaxis,aliaxis.com,Brussels,Brussels,Belgium,Plastic Piping Systems,Global leader in advanced plastic piping systems for building and infrastructure.,4100000000,14000,1,unknown,Private,1969,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Soudal,soudalgroup.com,Turnhout,Flanders,Belgium,Sealants & Adhesives,"Largest independent European manufacturer of sealants, adhesives, and PU foams.",1460000000,4500,1,unknown,Family-owned,1966,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Barco,barco.com,Kortrijk,Flanders,Belgium,Visualization & Display Technology,"Digital projection, visualization, and collaboration for enterprise, entertainment, healthcare.",947000000,3600,1,unknown,Public (Euronext),1934,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Puratos,puratos.com,Groot-Bijgaarden,Brussels,Belgium,B2B Food Ingredients,"International B2B supplier of bakery, patisserie, and chocolate ingredients. 100+ countries.",2500000000,10000,1,unknown,Family-owned,1919,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Agfa-Gevaert,agfa.com,Mortsel,Flanders,Belgium,Imaging & IT Solutions,"Digital imaging, IT systems for printing, healthcare, and industrial applications.",1300000000,7000,1,unknown,Public (Euronext),1867,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Deceuninck,deceuninck.com,Hooglede-Gits,Flanders,Belgium,PVC Building Systems,"Top 3 independent manufacturer of PVC profiles for windows, doors, building.",857000000,3686,1,unknown,Public (Euronext),1937,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Lhoist,lhoist.com,Limelette,Wallonia,Belgium,Lime & Minerals,"World's leading producers of lime, dolime, and mineral solutions.",2500000000,6650,1,unknown,Family-owned,1889,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Vandemoortele,vandemoortele.com,Ghent,Flanders,Belgium,B2B Food Solutions,"Family-owned B2B food company: bakery products, margarines, plant-based food solutions.",2000000000,4094,1,unknown,Family-owned,1899,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Unilin,unilin.com,Wielsbeke,Flanders,Belgium,Flooring & Wood Panels,"Flooring, insulation, wood panels. Brands: Quick-Step, Moduleo, Pergo. 105 locations.",2600000000,7800,1,unknown,Subsidiary (Mohawk),1960,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Ceratizit,ceratizit.com,Mamer,Luxembourg,Luxembourg,Hard Materials / Cutting Tools,Leading industrial group in hard material cutting tools and wear protection.,800000000,7000,1,unknown,Private (Plansee Group),1931,No,30,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
